rate,season,dc_period,demand_charge,ec_period,energy_charge,average,
SG,summer,,0,none,0.164961,0,
SG,winter,,0,none,0.164961,0,
ST,summer,,0,on-peak,0.220878,0,
ST,summer,,0,off-peak,0.115202,0,
ST,winter,,0,on-peak,0.224269,0,
ST,winter,,0,off-peak,0.115202,0,
LG,summer,,21.3786,none,0.088263,0,
LG,winter,,21.3786,none,0.088263,0,
LGmax,summer,,21.4543,none,0.086723,0,
LGmax,winter,,21.4543,none,0.086723,0,
LT,summer,,26.8186,on-peak,0.113014,0,
LT,summer,,4.8786,off-peak,0.081678,0,
LT,winter,,26.8186,on-peak,0.120719,0,
LT,winter,,4.8786,off-peak,0.081678,0,
PS,summer,,26.5186,on-peak,0.100812,0,
PS,summer,,4.7986,off-peak,0.072511,0,
PS,winter,,26.5186,on-peak,0.109073,0,
PS,winter,,4.7986,off-peak,0.072511,0,
PSmax,summer,,26.5943,on-peak,0.099272,0,
PSmax,summer,,4.8743,off-peak,0.070971,0,
PSmax,winter,,26.5943,on-peak,0.107533,0,
PSmax,winter,,4.8743,off-peak,0.070971,0
